PID,NAME,NAME TYPE,MISSION TYPE,MISSION TYPE PLUS,MISSION CATEGORY,SPACE,TIME,YEAR,MONTH,DAY,LAUNCH LOCATION,LAUNCH VEHICLE,CREWED,CELESTIAL BODIES,ORBIT,PROGRAM COST
Locally assigned persistent ID,Mission name,"SKOS RDF concept label - exactly one preferred label per mission, the most common/recent name, often the acronymn, but not always, multiple alt/hidden labels allowed but not required","Existing mission types, exactly one per mission, frontend facet, see validate tab","Phase II: new mission types, once field populated with data will be combined with existing mission types, see validate tab","Phase II: discipline/subject based, currently set up as one per mission, but if multiple are needed per mission this structure can be revised, see validate tab",Phase II: see validate tab,Phase II: see validate tab,YYYY,MON,DD,See validate tab,"This column might get phased out eventually, existing only through links between missions, but populate for now where applicable",Phase II: Binary Y/N,"Phase II: Pipe delimited list (add flyby, orbit, landing afterwards in parenthesis if known) - for now just listed in a cell but data structure likely to change - use the Unified Astronomical Thesaurus (UAT) concept names: https://astrothesaurus.org/thesaurus/search-the-uat/","Phase II: Only a few Earth orbits listed currently, but more to be added soon","Don't waste time trying to track down this number, but if you happen to come across it, then add it in"
GSFCIR system,"Extracted from mission source(s), listed one per line in export, so a lot of the data below is repetitive, but it's a bit easier this way ","Derived from mission source(s), assigned locally","Derived from mission source(s), assigned locally","Derived from mission source(s), assigned locally","Derived from mission source(s), assigned locally","Derived from mission source(s), assigned locally","Derived from mission source(s), assigned locally",Extracted from mission source(s),Extracted from mission source(s),Extracted from mission source(s),Extracted from mission source(s),Extracted from mission source(s),Derived from mission source(s),Derived from mission source(s),Derived from mission source(s),Extracted from mission source(s)
gsfcirMisn:1002,Absolute Measurement of the Solar Constant,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1003,AC Electric Field Measurement,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1004,Accelerometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1005,ACE,Preferred,spacecraft,NULL,NULL,NULL,NULL,1997,AUG,25,"Cape Canaveral, FL",Delta II 7920,NULL,NULL,NULL,NULL
gsfcirMisn:1005,Explorer 71,Alternate,spacecraft,NULL,NULL,NULL,NULL,1997,AUG,25,"Cape Canaveral, FL",Delta II 7920,NULL,NULL,NULL,NULL
gsfcirMisn:1005,Advanced Composition Explorer,Hidden,spacecraft,NULL,NULL,NULL,NULL,1997,AUG,25,"Cape Canaveral, FL",Delta II 7920,NULL,NULL,NULL,NULL
gsfcirMisn:1006,ACRIMSAT,Preferred,spacecraft,NULL,NULL,NULL,NULL,1999,DEC,21,Vandenberg Air Force Base,Taurus,NULL,NULL,NULL,NULL
gsfcirMisn:1006,Active Cavity Radiometer Irradiance Monitoring Satellite,Alternate,spacecraft,NULL,NULL,NULL,NULL,1999,DEC,21,Vandenberg Air Force Base,Taurus,NULL,NULL,NULL,NULL
gsfcirMisn:1007,ACT-America,Preferred,spacecraft,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1007,Atmospheric Carbon and Transport - America,Alternate,spacecraft,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1008,Active Cavity Radiometer Irradiance Monitor,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1008,ACRIM,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1009,Active Cavity Radiometer Solar Irradiance Monitor,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1010,Active Dosimetry of Charged Particles,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1011,Active Rack Isolation Systems,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1011,ARIS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1012,Active Seismic,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1013,Active Spacecraft Potential Control,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1013,ASPOC,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1014,ACTS,Preferred,spacecraft,NULL,NULL,NULL,NULL,1993,SEP,12,"Cape Canaveral, FL",Shuttle,NULL,NULL,NULL,NULL
gsfcirMisn:1014,Advanced Communications Technology Satellite,Alternate,spacecraft,NULL,NULL,NULL,NULL,1993,SEP,12,"Cape Canaveral, FL",Shuttle,NULL,NULL,NULL,NULL
gsfcirMisn:1015,AD-A,Preferred,spacecraft,NULL,NULL,NULL,NULL,1963,DEC,19,"Point Arguello, CA",Scout,NULL,NULL,NULL,NULL
gsfcirMisn:1015,Explorer 19,Alternate,spacecraft,NULL,NULL,NULL,NULL,1963,DEC,19,"Point Arguello, CA",Scout,NULL,NULL,NULL,NULL
gsfcirMisn:1016,AD-B,Preferred,spacecraft,NULL,NULL,NULL,NULL,1964,NOV,21,Vandenberg Air Force Base,Scout,NULL,NULL,NULL,NULL
gsfcirMisn:1016,Explorer 24,Alternate,spacecraft,NULL,NULL,NULL,NULL,1964,NOV,21,Vandenberg Air Force Base,Scout,NULL,NULL,NULL,NULL
gsfcirMisn:1017,AD-C,Preferred,spacecraft,NULL,NULL,NULL,NULL,1968,AUG,8,Vandenberg Air Force Base,Scout,NULL,NULL,NULL,NULL
gsfcirMisn:1017,Explorer 39,Alternate,spacecraft,NULL,NULL,NULL,NULL,1968,AUG,8,Vandenberg Air Force Base,Scout,NULL,NULL,NULL,NULL
gsfcirMisn:1018,ADEOS,Preferred,spacecraft,NULL,NULL,NULL,NULL,1996,AUG,17,"Tanegashima, Japan",H-2,NULL,NULL,NULL,NULL
gsfcirMisn:1018,Japanese Advanced Earth Observing Satelllite,Alternate,spacecraft,NULL,NULL,NULL,NULL,1996,AUG,17,"Tanegashima, Japan",H-2,NULL,NULL,NULL,NULL
gsfcirMisn:1018,Midori,Hidden,spacecraft,NULL,NULL,NULL,NULL,1996,AUG,17,"Tanegashima, Japan",H-2,NULL,NULL,NULL,NULL
gsfcirMisn:1019,Advanced Atmosphere Sounder and Imaging Radiometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1019,AASIR,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1020,Advanced Automated Directional Solidification Furnace,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1020,AADSF,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1021,Advanced Baseline Imager,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1021,ABI,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1022,Advanced Camera for Surveys,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1022,ACS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1023,Advanced Microwave Precipitation Radiometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1023,AMPR,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1024,Advanced Microwave Radiometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1024,AMR,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1025,Advanced Microwave Scanning Radiometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1025,AMSR,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1026,Advanced Microwave Sounding Unit,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1026,AMSU,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1027,Advanced Photovoltaic Experiment,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1028,Advanced Protein Crystalization Facility,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1028,APCF,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1029,Advanced Radiation Dosimetry System for Protons and Electrons,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1030,Advanced Scatterometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1030,ASCAT,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1031,Advanced Solar Gallium Arsenide Array,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1031,ASGA,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1032,Advanced Spaceborne Thermal Emission and Reflection,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1032,ASTER,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1032,Advanced Spaceborne Thermal Emission and Reflection Radiometer,Hidden,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1033,Advanced Technology Microwave Sounder,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1033,ATMS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1034,Advanced Thermal Control Flight,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1035,Advanced Topographic Laser Altimeter System,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1035,ATLAS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1036,Advanced Very High Resolution Radiometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1036,AVHRR,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1037,Advanced Vidicon Camera System,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1037,AVCS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1038,Advanced Visible and Near-Infrared Radiometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1038,AVNIR,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1039,Advanced Whole Air Sampler,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1039,AWAS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1040,AE-A,Preferred,spacecraft,NULL,NULL,NULL,NULL,1963,APR,3,"Cape Canaveral, FL",Thor-Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1040,Explorer 17,Alternate,spacecraft,NULL,NULL,NULL,NULL,1963,APR,3,"Cape Canaveral, FL",Thor-Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1040,Atmosphere Explorer-A,Hidden,spacecraft,NULL,NULL,NULL,NULL,1963,APR,3,"Cape Canaveral, FL",Thor-Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1040,S 6,Hidden,spacecraft,NULL,NULL,NULL,NULL,1963,APR,3,"Cape Canaveral, FL",Thor-Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1041,AE-B,Preferred,spacecraft,NULL,NULL,NULL,NULL,1966,MAY,25,"Cape Canaveral, FL",Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1041,Explorer 32,Alternate,spacecraft,NULL,NULL,NULL,NULL,1966,MAY,25,"Cape Canaveral, FL",Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1041,Atmosphere Explorer-B,Hidden,spacecraft,NULL,NULL,NULL,NULL,1966,MAY,25,"Cape Canaveral, FL",Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1042,AE-C,Preferred,spacecraft,NULL,NULL,NULL,NULL,1973,15,16,"Cape Canaveral, FL",Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1042,Explorer 51,Alternate,spacecraft,NULL,NULL,NULL,NULL,1973,15,16,"Cape Canaveral, FL",Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1042,Atmosphere Explorer-C,Hidden,spacecraft,NULL,NULL,NULL,NULL,1973,15,16,"Cape Canaveral, FL",Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1043,AE-D,Preferred,spacecraft,NULL,NULL,NULL,NULL,1975,OCT,6,Vandenberg Air Force Base,Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1043,Explorer 54,Alternate,spacecraft,NULL,NULL,NULL,NULL,1975,OCT,6,Vandenberg Air Force Base,Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1043,Atmosphere Explorer-D,Hidden,spacecraft,NULL,NULL,NULL,NULL,1975,OCT,6,Vandenberg Air Force Base,Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1044,AE-E,Preferred,spacecraft,NULL,NULL,NULL,NULL,1975,NOV,20,"Cape Canaveral, FL",Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1044,Explorer 55,Alternate,spacecraft,NULL,NULL,NULL,NULL,1975,NOV,20,"Cape Canaveral, FL",Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1044,AE 5,Hidden,spacecraft,NULL,NULL,NULL,NULL,1975,NOV,20,"Cape Canaveral, FL",Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1044,Atmosphere Explorer-E,Hidden,spacecraft,NULL,NULL,NULL,NULL,1975,NOV,20,"Cape Canaveral, FL",Delta,NULL,NULL,NULL,NULL
gsfcirMisn:1045,AEM,Preferred,program,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1045,Applications Explorer Mission,Alternate,program,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1046,Aeodyne High-Resolution Time-of-Flight Aerosol Mass Spectrometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1046,HR-AMS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1047,Aerogel Dust Collectors,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1048,Aeronomy of Titan and Saturn,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1049,AEROS,Preferred,program,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1050,AEROS-A,Preferred,spacecraft,NULL,NULL,NULL,NULL,1972,DEC,16,Vandenberg Air Force Base,Scout,NULL,NULL,NULL,NULL
gsfcirMisn:1050,AEROS-1,Alternate,spacecraft,NULL,NULL,NULL,NULL,1972,DEC,16,Vandenberg Air Force Base,Scout,NULL,NULL,NULL,NULL
gsfcirMisn:1051,AEROS-B,Preferred,spacecraft,NULL,NULL,NULL,NULL,1974,JUL,16,Vandenberg Air Force Base,Scout,NULL,NULL,NULL,NULL
gsfcirMisn:1051,AEROS2,Alternate,spacecraft,NULL,NULL,NULL,NULL,1974,JUL,16,Vandenberg Air Force Base,Scout,NULL,NULL,NULL,NULL
gsfcirMisn:1052,Aerosol Collector and Pyrolyzer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1052,ACP,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1053,Aerosol Microphysical Properties,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1053,AMP,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1054,Aerosol Polarimetry Sensor,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1054,APS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1055,Aerosol Robotic Network,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1055,AERONET,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1056,Agena Micrometeorite Collection,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1057,AIDA,Preferred,spacecraft,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1057,Asteroid Impact and Deflection Assessment,Alternate,spacecraft,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1058,AIDA-DART,Preferred,program,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1058,Asteroid Impact and Deflection Assessment -  Double Asteroid Redirection Test,Alternate,program,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1059,AIM,Preferred,spacecraft,NULL,NULL,NULL,NULL,2007,APR,25,Vandenberg Air Force Base,Pegasus XL,NULL,NULL,NULL,NULL
gsfcirMisn:1059,Explorer 90,Alternate,spacecraft,NULL,NULL,NULL,NULL,2007,APR,25,Vandenberg Air Force Base,Pegasus XL,NULL,NULL,NULL,NULL
gsfcirMisn:1059,Aeronomy of Ice in the Mesosphere,Hidden,spacecraft,NULL,NULL,NULL,NULL,2007,APR,25,Vandenberg Air Force Base,Pegasus XL,NULL,NULL,NULL,NULL
gsfcirMisn:1060,Air Force Maui Optical System,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1060,AMOS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1061,Airborne Compact Atmospheric Mapper,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1061,ACAM,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1062,Airborne Laboratory for Atmospheric Research,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1062,ALAR,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1063,Airborne Multi-Angle Spectro Polarimeter Imager,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1063,AirMSPI,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1064,Airborne Oxygen Instrument,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1064,AO2,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1065,Airborne Precipitation Radar,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1066,Airborne Topographic Mapper,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1066,ATM,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1067,Airborne Tropospheric Hydrogen Oxides Senor,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1067,ATHOS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1068,Airglow and Auroral Emissions,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1069,Airglow Horizon Photography,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1070,Airglow Photometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1071,AirMOSS,Preferred,spacecraft,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1071,Airborne Microwave Observatory of Subcanopy and Subsurface,Alternate,spacecraft,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1072,Alexander,Preferred,spacecraft,NULL,NULL,NULL,NULL,2013,APR,21,"Wallops Island, VA",Antares,NULL,NULL,NULL,NULL
gsfcirMisn:1072,PhoneSat 2.0 Beta,Alternate,spacecraft,NULL,NULL,NULL,NULL,2013,APR,21,"Wallops Island, VA",Antares,NULL,NULL,NULL,NULL
gsfcirMisn:1072,PhoneSat v2,Hidden,spacecraft,NULL,NULL,NULL,NULL,2013,APR,21,"Wallops Island, VA",Antares,NULL,NULL,NULL,NULL
gsfcirMisn:1072,PhoneSat v2a,Hidden,spacecraft,NULL,NULL,NULL,NULL,2013,APR,21,"Wallops Island, VA",Antares,NULL,NULL,NULL,NULL
gsfcirMisn:1073,All-Sky Monitor,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1073,ASM,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1074,All-Sky White Light Imagers,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1075,All-Sky X-Ray Survey,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1076,Alouette,Preferred,program,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1077,Alouette 1,Preferred,spacecraft,NULL,NULL,NULL,NULL,1962,SEP,29,Vandenberg Air Force Base,Thrust Augmented Thor-Agena B,NULL,NULL,NULL,NULL
gsfcirMisn:1077,Alouette-A,Alternate,spacecraft,NULL,NULL,NULL,NULL,1962,SEP,29,Vandenberg Air Force Base,Thrust Augmented Thor-Agena B,NULL,NULL,NULL,NULL
gsfcirMisn:1078,Alouette 2,Preferred,spacecraft,NULL,NULL,NULL,NULL,1965,NOV,29,Vandenberg Air Force Base,Thrust Augmented Thor-Agena B,NULL,NULL,NULL,NULL
gsfcirMisn:1078,Alouette-B,Alternate,spacecraft,NULL,NULL,NULL,NULL,1965,NOV,29,Vandenberg Air Force Base,Thrust Augmented Thor-Agena B,NULL,NULL,NULL,NULL
gsfcirMisn:1079,Alpha Particle X-Ray Spectrometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1079,APXS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1080,Alpha Proton X-ray Spectrometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1080,APXS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
