PID,NAME,NAME TYPE,MISSION TYPE,MISSION TYPE PLUS,MISSION CATEGORY,SPACE,TIME,YEAR,MONTH,DAY,LAUNCH LOCATION,LAUNCH VEHICLE,CREWED,CELESTIAL BODIES,ORBIT,PROGRAM COST
gsfcirMisn:1281,Charged Particle Detector,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1282,Charged Particle Instrument,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1282,Charged Particle Composition,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1283,Charged Particle Lunar Environment Experiment,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1283,CPLEE,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1284,Charged Particle Measurements Experiment,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1284,CPME,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1285,Charged Particle Telescope,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1285,CPT,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1280,Charge-Energy-Mass Spectrometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1280,CHEM,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1286,Charging Hazards and Wake Studies,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1286,CHAWS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1287,CHARLOTTE,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1288,ChemCam,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1288,Chemistry and Camera,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1288,Chemical Camera,Hidden,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1289,Chemical Ionization Mass Spectrometer,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1289,CIT-CIMS,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1290,Chemiluminescence Instrument,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1290,Chemiluminescence,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1291,Chemistry and Exobiology of Titan,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1292,CheMin,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1292,Chemistry and Mineralogy X-Ray Diffraction/X-Ray Flourescence Instrument,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1293,CHIPS,Preferred,spacecraft,NULL,NULL,NULL,NULL,2003,JAN,13,Vandenberg Air Force Base,Delta II,NULL,NULL,NULL,NULL
gsfcirMisn:1293,Explorer 82,Alternate,spacecraft,NULL,NULL,NULL,NULL,2003,JAN,13,Vandenberg Air Force Base,Delta II,NULL,NULL,NULL,NULL
gsfcirMisn:1293,Cosmic Hot Interstellar Plasma Spectrometer,Hidden,spacecraft,NULL,NULL,NULL,NULL,2003,JAN,13,Vandenberg Air Force Base,Delta II,NULL,NULL,NULL,NULL
gsfcirMisn:1294,Chopped Photometric Channel,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1295,CHROMEX-6,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1296,Chromosphere Fine-Structure Study,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1297,CHUCK,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1298,CINDI,Preferred,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1298,Coupled Ion Neutral Dynamic Investigation,Alternate,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1298,CINDI/CNOFS,Hidden,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gsfcirMisn:1298,Cindi-CNOFS,Hidden,experiment,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
